Name,Rating,href,attributes,Latitude,Longitude
Hong Kong Restaurant & Bar,4,https://www.google.com/maps/place/Hong+Kong+Restaurant+%26+Bar/data=!4m7!3m6!1s0x390ceb9bcec43b49:0x21ab409498f3c3b2!8m2!3d28.4816924!4d77.498545!16s%2Fg%2F11j4ljfcsf!19sChIJSTvEzpvrDDkRssPzmJRAqyE?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipOHAEETysQcjzPFFSFBET25lR9rx5Z1UJRy5kq2=w122-h92-k-no,28.4816924,77.498545
DHABA UP16,4.1,https://www.google.com/maps/place/DHABA+UP16/data=!4m7!3m6!1s0x390ceb440f9d05d9:0xe3ddee304e094dc!8m2!3d28.4724634!4d77.5133247!16s%2Fg%2F11h4dchp8b!19sChIJ2QWdD0TrDDkR3JTgBOPePQ4?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipPTXmXYKuw3Oc5WewfxewT4NB425P7Kco8MlL3k=w122-h92-k-no,28.4724634,77.5133247
La Brezza - Luxury Italian Restaurant Delhi NCR,4.2,https://www.google.com/maps/place/La+Brezza+-+Luxury+Italian+Restaurant+Delhi+NCR/data=!4m7!3m6!1s0x390cebd252a832ab:0xe957ac744e694b2!8m2!3d28.47116!4d77.5170771!16s%2Fg%2F11byxft3lm!19sChIJqzKoUtLrDDkRspTmRMd6lQ4?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipOgSowY0bj-dFEHLFwiIYu-AkNqQ7F7ad_BjVSi=w138-h92-k-no,28.47116,77.5170771
Shri Gokulam,4.3,https://www.google.com/maps/place/Shri+Gokulam/data=!4m7!3m6!1s0x390cc11ca85411c9:0x89bfe6127f381e87!8m2!3d28.4514197!4d77.5071803!16s%2Fg%2F11smvxfy_b!19sChIJyRFUqBzBDDkRhx44fxLmv4k?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipNuWyt3zZTjrESzEvGFXVic1FHjblsRkd69xJ53=w136-h92-k-no,28.4514197,77.5071803
Royal Mango Restaurant,4,https://www.google.com/maps/place/Royal+Mango+Restaurant/data=!4m7!3m6!1s0x390cea6e9fff56b7:0x26d185db615defb2!8m2!3d28.4820927!4d77.5016718!16s%2Fg%2F11byxg_k92!19sChIJt1b_n27qDDkRsu9dYduF0SY?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipOB3osFsb5WTFzqUv2JqhU4i6vJHSnnPyVsbto=w92-h92-k-no,28.4820927,77.5016718
Tree House Restaurant And Cafe,4.7,https://www.google.com/maps/place/Tree+House+Restaurant+And+Cafe/data=!4m7!3m6!1s0x390ceb0fe4a76e7b:0x85a3b90eb2a2ed8e!8m2!3d28.478139!4d77.5181394!16s%2Fg%2F11trnbzvkf!19sChIJe26n5A_rDDkRju2isg65o4U?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipOT9OKXUYt3N-ddZqb19MVI8W6elSpRM480G9uG=w205-h92-k-no,28.478139,77.5181394
Raja Restaurant,4,https://www.google.com/maps/place/Raja+Restaurant/data=!4m7!3m6!1s0x390c938767c7ad39:0xb669e853cec647e9!8m2!3d28.4525757!4d77.50612!16s%2Fg%2F11gy39gs1r!19sChIJOa3HZ4eTDDkR6UfGzlPoabY?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipM4QBExHP1kIvkD0vw2TkgSnZTVzPwXwMUqHDpD=w122-h92-k-no,28.4525757,77.50612
Dine House,4.5,https://www.google.com/maps/place/Dine+House/data=!4m7!3m6!1s0x390cebca30a32055:0xe37edcfaa907bd17!8m2!3d28.4874123!4d77.5054956!16s%2Fg%2F11kj454jqz!19sChIJVSCjMMrrDDkRF70HqfrcfuM?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipNUko17qXG9J-_m06_AKsRHejuEl_ZM0WAp9hd6=w122-h92-k-no,28.4874123,77.5054956
Mafias Of Grill,4.4,https://www.google.com/maps/place/Mafias+Of+Grill/data=!4m7!3m6!1s0x390ceb91f1732e25:0xc280f297fe67151e!8m2!3d28.4877079!4d77.5138956!16s%2Fg%2F11s8zbztlc!19sChIJJS5z8ZHrDDkRHhVn_pfygMI?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipOO4TMsgl9CW9_c1LS_bJQtXGML6-aBD7a7BAB9=w122-h92-k-no,28.4877079,77.5138956
ZAIKA RESTAURANT NRI,3.7,https://www.google.com/maps/place/ZAIKA+RESTAURANT+NRI/data=!4m7!3m6!1s0x390cc1d4191036bd:0x56b20e7bbcc48410!8m2!3d28.4631412!4d77.5107129!16s%2Fg%2F11c3_4z5jy!19sChIJvTYQGdTBDDkREITEvHsOslY?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipP1FtNz5tqmexxD6XVs0fJ1blIpTNFgMpusp1iW=w80-h106-k-no,28.4631412,77.5107129
